Covidence,Study.ID,design,alpha,power,effect_size_type,effect_size_value,software,rep_w_info_provided,eta_squared_setting,conditionally_reproducible,conditions_assumed,appropriate_software,hypothesis_quote,matches_primary_hypotheses,matches_design,repro_software,notes
1772,GandÃ­a 2019,unknown  ,.05_tails_not_reported,80,w2,0.21,gpower,no,notapp,no,not_app,not_app,"guidance hypothesis is valid in these individuals. The aim of this study was to evaluate the effect of different frequencies of verbal-terminal-augmented feedback KP during acquisition and retention on a dynamic balance task in adolescents. Because Sullivan et al. (2008) found that children’s motor learning was greater when they received 100% rather than 62% feedback when learning a simple task, it is hypothesized that, for the relatively complex balance task it would be necessary to provide feedback to adolescents after every trial rather than less frequently (Wulf et al., 2010).",unknown,unknown,not_app,
1698,Sherwood 2019,unknown  ,unknown,70,f,0.3,gpower,no,notapp,no,not_app,not_app,"However, it is unknown how the availability of vision would affect performance in the presence of potentially disruptive and irrelevant auditory and movement-related stimuli. Regardless of whether vision is available, if an internal FOA on both task-relevant and task-irrelevant factors disrupts performance in comparison to the external FOA conditions, then one would expect a main effect for direction (internal/external) but no interaction between relevance and direction. If an internal FOA is only disruptive when attention is paid to task-relevant factors, and not to task-irrelevant factors, then one would expect an interaction between relevance and direction of the FOA. By the same token, the advantages of an external FOA might only be realized when attention is directed to task-relevant factors, as in the Russell et al. (2014) experiment. If the judgments of irrelevant factors act as distractions that disrupt performance, then one might expect a main effect for relevance.",unknown,unknown,not_app,"reported sample size of 71 for power analysis, actually 72, which is what they collected"
1680,Andruschko 2019,unknown  ,two-tailed_.05,20,d,0.5,not_reported,no,notapp,no,not_app,not_app,"It was hypothesized that girls in the intervention group would have a smaller decline in physical activity and a greater increase in movement skill proficiency, compared with their control group peers.",unknown,unknown,not_app,"authors said the power estimates were approximate, and while not reproducible exactly, the reported power of 20% was close to the calculation"
1659,Pesce 2019,unknown  ,.05_tails_not_reported,80,f,0.33,not_reported,no,notapp,yes,"ancova fixed effects and interactions, actual sample 92 not 93, 2 covariates",yes,"Specifically, the aim of the present study was to investigate the role played by gender and sport practice when children under- or overestimate their motor competence and the biomechanical correlates of perceived-actual competence (mis)match.",unknown,unknown,gpower,"power estimate was N = 92, 93 were needed for equal groups"
1649,Rhoads 2019,multiple_regression,.05_tails_not_reported,80,f2,0.1,gpower,yes,notapp,not_app,not_app,yes,"Based on previous research in the academic domain, we believe expecting to teach will enhance learning, and teaching will interact with expecting to teach, by increasing learning significantly more than expectation alone. That is, participants who expect to teach will exhibit superior learning relative to those who do not, and participants who expect to teach and teach will demonstrate greater learning than participants who only expect to teach.",yes,yes,gpower,
1645,Leiker 2019,multiple_regression,.05_tails_not_reported,80,f2,0.15,gpower,yes,notapp,not_app,not_app,yes,"The primary hypothesis of this study was that participants in the self-controlled group would show superior learning (i.e., better performance on retention and transfer tests, based on the ingame score) compared to the yoked group.",yes,no,gpower,
1638,Surkar 2019,two_independent,.05_tails_not_reported,95,d,1.3914372,not_reported,no,notapp,yes,one-tailed alpha,not_app,"Our hypotheses were: 1) there will be notable differences in the planning, and execution of the respective movement phases between TD and children with HCP; 2) planning would be hindered if the final movement in the sequence was more complex due to biomechanically complex target position in TD as well as in children with HCP, and planning of children withSurkar et al. HCP will be more affected than TD children. Since attention might be directed toward an upcoming target in the second movement sequence, this cognitive overload of simultaneously allocating cognitive and motor resources to complex target goal might further interfere with the planning and execution of the motor action.",match_one,no,gpower,
1201,CociÄ‡ 2021,unknown  ,unknown,80,pn2,0.4,not_reported,no,not_reproducible,no,not_app,not_app,"Based on the previous studies (Farrow et al., 2005; Maxeiner, 1988; Maxeiner et al., 1996), we expect no significant difference between the expert and novice goalkeepers in the first occlusion point and performance around chance level, due to the fact that at this time point there is no relevant information. The second occlusion point was the crucial one because it contained the most relevant information for expert goalkeeper anticipation (Loffing & Hagemann, 2014). We expect clearly above chance performance in experts while novices’performance should be around chance. The final occlusion point provides more information, but given that this
information is not crucial for experts, we do not expect a
large increase in experts’ performance from the second
occlusion window. In contrast, this information may help
novices to finally reach performance above chance level.
We expect the same pattern of results with the reaction
time.",unknown,unknown,not_app,"two power estimates (80, 95) for two main effects. 2/4 were conditionally reproducible based on several questionable assumptions,  the other two were off by one participant"
1200,Roman 2021,unknown  ,.05_tails_not_reported,80,unknown,0.8,gpower,no,notapp,no,not_app,not_app,Non-natives were hypothesized to self-report greater pain intensity and have higher composite scores (i.e. less favorable) than natives. It was also hypothesized that pain intensity would be associated with the modified SI score and its respective biomechanical tasks. Materi,unknown,unknown,not_app,
1180,Bartonek 2021,unknown  ,unknown,,unknown,not_app,gpower,no,notapp,no,not_app,not_app,"Considering that, we hypothesized that children with CP would have a poorer topographic working memory than typical developing children (TD) due to the lack of motor experience. Based on findings during studying turning gait (Bartonek et al., 2018) we also hypothesized that children with CP functioning at a low mobility level would show increasingly more difficulties in navigation tasks than children with independent locomotion in the community.",unknown,unknown,not_app,
1173,Norouzi 2021,mixed_anova,.05_tails_not_reported,80,f,0.25,gpower,no,notapp,no,not_app,no,"Three hypotheses were formulated. First, following others (Gallicchio et al., 2016; Janelle et al., 2000; Mirifar et al., 2017; Wilson et al., 2006; Zhu et al., 2011), we expected that, compared to a mock neurofeedback condition, quiet mind training (QMT) would have a more positive impact on the acquisition of dart throwing skills. Second, we expected that, compared to a mock neurofeedback condition, QMT would result in suppressed alpha power. Third, again following others (Beckmann et al., 2013; Lam et al., 2009; Masters, 1992), we expected that skill in dart throwing acquired under QMT conditions would not be adversely affected in a pressure situation.",yes,yes,gpower,
1158,RighettoGreco 2020,unknown  ,.05_tails_not_reported,80,unknown,not_app,not_reported,no,notapp,no,not_app,not_app,"Due to the academic and social relevance raised, this study verified the degree of strength of the relationship between the segmental trunk control and the gross motor performance in the prone, supine, sitting and standing postures in PT infants at 6 and 7 months with corrected age, and compared with FT infants of the same age. It is expected that higher segmental trunk control is associated with better gross motor performance, especially in sitting posture. It means that less support on the trunk observed through higher SATCo scores will reflect in better performance of gross motor skills, such as independent sitting even if for a brief period.",unknown,unknown,not_app,
1154,Jeong 2020,unknown  ,.05_tails_not_reported,95,unknown,0.8,gpower,no,notapp,no,not_app,not_app,"It was hypothesized that muscle strength-trained females would demonstrate a decreased peak anterior tibial shear force, as well as an increased knee flexion angle and decreased valgus moment, tibial internal rotation moment, both at initial contact and at peak anterior tibial shear force when compared with females at baseline during side-step cutting. Also, it was hypothesized that the hamstring to quadriceps muscle activation ratio would increase in strength-trained females by increasing both medial and lateral hamstring activation.",unknown,unknown,not_app,
1117,Whittier 2020,unknown  ,.05_tails_not_reported,80,d,0.6,not_reported,no,notapp,no,not_app,not_app,"We hypothesized that during initially learning new gait (increasing SR 5–10%) an increase in theta, beta, and lower gamma amplitudes over the prefrontal areas with a corresponding decrease following six weeks of training. Further, we hypothesized SR increase would lead to an acute increase in cognitive effort as indicated by changes in EEG spectral power: beta and mu spectral power decrease and an increase in theta and lower gamma spectral power in the primary motor cortex. Due to Seeber and colleagues’ findings in the lower gamma band over the primary motor cortices, we lastly hypothesized that as runners increased their SR, gamma amplitude would show similar responses and initially increase during early skill acquisition then decrease after training.",unknown,unknown,not_app,
1111,Bustillo-Casero 2020,unknown  ,.05_tails_not_reported,95,unknown,1.25,gpower,no,notapp,no,not_app,not_app,The aim of this study was to assess the effect of dual-task practice on motor performance and cognitive functions in adolescents.,unknown,unknown,not_app,
1110,Souto 2020,two_independent,.05_tails_not_reported,80,unknown,0.8,gpower,no,notapp,yes,"two_tails, effect size = d",not_app,We hypothesized that frequent tablet use is associated with a beneficial effect on fine motor skills. The study’s secondary aim was to describe the situations in which young children use the tablet.,yes,no,gpower,
1109,Schaefer 2020,mixed_anova,.05_tails_not_reported,96,f,0.3,gpower,yes,notapp,not_app,not_app,yes,"we also predict that table tennis performances of novices will suffer more from dual-tasking than the performances of experts; We predict that the more difficult task combination will lead to
more pronounced increases in dual-task costs in novices
when compared to experts",yes,no,gpower,
1098,Ochi 2020,multiple_regression,.05_tails_not_reported,80,f2,0.35,gpower,no,notapp,yes,R-squared change - one tested predictor,yes,"We hypothesized that early RTD will be a better
predictor of maximum recoverable lean angle than late
RTD or maximum isometric torque of the lower limbs.",no,yes,gpower,repeated measures violates independence assumption of multiple regression
1079,Hegarty 2019,unknown  ,.05_tails_not_reported,80,unknown,1,not_reported,no,notapp,yes,"dependent t-test, 1-tailed alpha, effect size = d",yes,"walking speed, measured with the 10-m walk test, would increase; and walking endurance, measured with the 6-min walk test, would also increase. 2. lower-limb isometric strength targeted with the strength training program, including the ankle plantarflexors, knee extensors, hip flexors, and hip extensors, would increase.  lower-limb muscles targeted with the strength
training program would increase their average
muscle force production during stance in the
walking simulations;
2. these muscles would also increase their
contributions to body propulsion/braking (anterior/
posterior acceleration of the body center of mass)
and support (vertical acceleration of the body center
of mass) in the walking simulations, consistent with
greater muscle force production.",unknown,unknown,gpower,
1067,VenturadeOliveira 2019,unknown  ,.05_tails_not_reported,90,pn2,0.12,gpower,no,default,yes,"ANOVA:repeated measures, within-between interaction, pn2 = default, 2 groups, 2 measures, corr = 0.5, nonesphericity = 1.",yes,"Here, we tested the hypothesis that cathodal stimulation of the left PPC creates accentuated proprioceptive drift in visual deprivation. Despite the fact that some studies of drift have found no alteration in movement amplitude when aiming is performed without vision (Brown et al., 2003; Patterson, Brown, Wagstaff, & Sainburg, 2017), we expect that PPC stimulation in combination with blindfolded aiming will affect movement distance. Based on TMS studies that investigated the role of the PPC in motor control (Della-Maggiore et al., 2004; Desmurget et al., 1999), we also expect that stimulation of the PPC associated with the absence of vision will affect both movement planning and online corrections.",unknown,unknown,gpower,"default = 22, as in spss = 82"
1058,Yamamoto 2019 Exp1,unknown  ,.05_tails_not_reported,80,f,0.25,gpower,no,notapp,yes,"repeated measures anova, 3 time points, .5 correlation",yes,"The purpose of this study was to investigate whether
these cognitive biases arise in amateur tennis players, irrespective of their experience level, for the prior and posterior
estimation of the two-dimensional variance of forehand
strokes in tennis",unknown,yes,gpower,"three analyses reported, power analysis matches one of the three"
1053,Marco-AhullÃ³ 2019,unknown  ,.05_tails_not_reported,95,d,1.33,gpower,no,notapp,no,not_app,yes,"Our hypothesis was that a 100% feedback
frequency would better suit this population than the reduced
frequency for learning of the balance task.",unknown,unknown,gpower,cannot figure out what they ran for a power analysis
1058,Yamamoto 2019 Exp2,two_dependent,.05_tails_not_reported,80,d,0.8,gpower,no,notapp,no,not_app,yes,Experiment 2 was to test whether the isotropy bias disappears when participants estimate 95% confidence intervals of ellipses for dots randomly sampled from a Gaussian distribution displayed on a computer screen.,yes,yes,gpower,off by 1 assuming dependent t test
2076,Scott 2020,unknown  ,.05_tails_not_reported,80,f,0.43,gpower,no,notapp,no,not_app,not_app,"Given the proposed deficit in internal modelling and motor planning in DCD (Adams et al., 2014), we predicted that AO + MI instructions would enhance intentional imitation compared to observing then imagining, and compared to when these children simply observed with the intention to imitate this action. In TD children we predicted the same outcomes for AO + MI relative to the other two conditions, but that the pattern of results would be more pronounced in magnitude for DCD compared to TD children. In line with the aforementioned neurophysiological studies into AON function in DCD (e.g., Lust et al., 2019; Reynolds, Licari, et al., 2015) and the behavioural studies on gesture imitation (e.g. Reynolds et al., 2017; Sinani et al., 2011), we expected imitation would be significantly more accurate for TD children overall, compared to children with DCD in each of the three instruction conditions",unknown,unknown,not_app,second power analysis for effect of f = 1.19 for within subjects comparison was reproducible with assumptions - 2 groups and either 3 or 6 measurements produced N = 4
1981,Krause 2019,unknown  ,.05_tails_not_reported,80,f2,0.25,gpower,no,notapp,no,not_app,not_app,"The aim of the present study therefore was to evaluate the acute effects of FR on ROM, passive tissue stiffness and stretch sensation of the anterior thigh muscles as well as the sliding properties of the associated fasciae.",unknown,unknown,not_app,
2157,Look 2021,unknown  ,.05_tails_not_reported,80,unknown,not_app,not_reported,no,notapp,no,not_app,not_app,The objective of this study was to provide preliminary insight on whether DOMS affects future ACL injury risk by investigating whether DOMS affects the biomechanical variables of the DVJ that have been identified as risk factors for future ACL injury. The null hypothesis was that DOMS would not affect the biomechanical variables of the DVJ that have been associated with increased ACL injury risk.,unknown,unknown,not_app,
